order_id,order_date,order_time,shop_location_longitude,shop_location_latitude,shop_location_district,shop_location_country,shop_location_city,dropoff_longitude,dropoff_latitude,food_category,food_price_per_piece (US dollar),food_quantity_per_order,order_status,cost_of_successful_purchase _per_order (US dollar),,
id3004672,30/6/59,23:59:58,-73.98812866,40.73202896,Midtown Manhattan,USA,New York,-73.99017334,40.75667953,Cheese Steak,10,2,Cancel,0,,
id3505355,30/6/59,23:59:53,-73.96420288,40.67999268,Lower Manhattan,USA,New York,-73.95980835,40.65540314,Donut,5.5,1,Success,8,,
id1217141,30/6/59,23:59:47,-73.99743652,40.73758316,Midtown Manhattan,USA,New York,-73.98616028,40.72952271,Pizza,12,1,Success,13,,
id1598245,30/6/59,23:59:33,-73.97021484,40.76147461,Upper Manhattan,USA,New York,-73.9615097,40.75588989,Donut,2,1,Success,3,,
id0668992,30/6/59,23:59:30,-73.99130249,40.74979782,Midtown Manhattan,USA,New York,-73.98051453,40.78654861,Cheese Steak,5,1,Success,9,,
id1765014,30/6/59,23:59:15,-73.97830963,40.74155045,Midtown Manhattan,USA,New York,-73.95207214,40.71700287,Pizza,6.5,2,Success,17,,
id0898117,30/6/59,23:59:09,-74.01271057,40.70152664,Lower Manhattan,USA,New York,-73.98648071,40.71950912,Spagetti,5,2,Success,13,,
id3905224,30/6/59,23:58:55,-73.99233246,40.73051071,Midtown Manhattan,USA,New York,-73.87561798,40.87521362,Hot dog,12,4,Success,67,,
id1543102,30/6/59,23:58:46,-73.99317932,40.74876022,Midtown Manhattan,USA,New York,-73.97930908,40.76131058,Icecream,5.5,1,Success,7,,
id3024712,30/6/59,23:58:32,-73.96852875,40.67843246,Lower Manhattan,USA,New York,-73.96659088,40.63571167,Spagetti,13,8,Success,108,,
id3665810,30/6/59,23:58:05,-73.98277283,40.75690842,Upper Manhattan,USA,New York,-73.9746933,40.75333023,Hot dog,8,1,Cancel,0,,
id3457080,30/6/59,23:57:57,-73.98680115,40.73491669,Midtown Manhattan,USA,New York,-73.97589874,40.75689316,Hot dog,8,1,Cancel,0,,
